,StockItemID,QuantityOnHand,BinLocation,LastStocktakeQuantity,LastCostPrice,ReorderLevel,TargetStockLevel,LastEditedBy,LastEditedWhen
125,126,44071,K-5,43012,8.0,10,30,3,2016-05-31 12:00:00
126,127,41393,K-5,40386,8.0,10,30,3,2016-05-31 12:00:00
127,128,64026,K-5,62435,8.0,10,30,3,2016-05-31 12:00:00
128,129,49855,K-5,48640,8.5,10,30,3,2016-05-31 12:00:00
129,130,60311,K-5,58828,8.0,10,30,3,2016-05-31 12:00:00
130,131,37392,K-5,36517,8.0,10,30,3,2016-05-31 12:00:00
131,132,43436,K-5,42372,8.0,10,30,3,2016-05-31 12:00:00
132,133,56220,K-5,54892,8.5,10,30,3,2016-05-31 12:00:00
133,134,41994,K-5,40941,8.0,10,30,16,2016-05-31 07:00:00
134,135,37481,K-5,36567,8.0,10,30,16,2016-05-31 07:00:00
135,136,39284,K-5,38336,8.0,10,30,16,2016-05-31 07:00:00
136,137,45624,K-5,44519,8.5,10,30,3,2016-05-31 12:00:00
137,138,501745,K-6,489469,1.5,20,100,3,2016-05-31 12:00:00
138,139,126418,K-6,123058,1.5,20,100,3,2016-05-31 12:00:00
139,140,570360,K-6,556908,1.5,20,100,3,2016-05-31 12:00:00
140,141,328315,K-6,320227,1.5,20,100,3,2016-05-31 12:00:00
141,142,323812,K-7,316168,19.0,12,150,3,2016-05-31 12:00:00
142,143,378187,K-7,368623,19.0,12,150,16,2016-05-31 07:00:00
143,144,379166,K-7,369698,19.0,12,150,3,2016-05-31 12:00:00
144,145,248519,K-7,242015,19.0,12,150,16,2016-05-31 07:00:00
145,146,327221,K-7,319481,15.0,12,150,3,2016-05-31 12:00:00
146,147,354456,K-7,345708,15.0,12,150,16,2016-05-31 07:00:00
147,148,274041,K-7,267057,15.0,12,150,3,2016-05-31 12:00:00
148,149,229551,K-7,223599,15.0,12,150,3,2016-05-31 12:00:00
149,150,31743,K-8,30952,5.5,5,20,3,2016-05-31 12:00:00
150,151,37881,K-8,36962,5.5,5,20,3,2016-05-31 12:00:00
151,152,31300,K-8,30489,5.5,5,20,16,2016-05-31 07:00:00
152,153,168635,D-1,164905,2.2,20,50,16,2016-05-31 07:00:00
153,154,105320,D-1,103270,10.0,20,50,16,2016-05-31 07:00:00
154,155,440171,D-1,428681,13.0,20,50,3,2016-05-31 12:00:00
155,156,172675,D-1,168195,7.5,20,50,3,2016-05-31 12:00:00
156,157,46925,D-1,46155,14.0,20,50,3,2016-05-31 12:00:00
157,158,26193,D-1,25703,56.0,20,50,3,2016-05-31 12:00:00
158,159,48746,D-1,47736,8.0,20,50,16,2016-05-31 07:00:00
159,160,250461,D-1,244121,15.0,20,50,3,2016-05-31 12:00:00
160,161,188962,D-1,184422,16.0,20,50,3,2016-05-31 12:00:00
161,162,269785,D-1,263455,9.9,20,50,3,2016-05-31 12:00:00
162,163,108019,D-1,105389,14.0,20,50,3,2016-05-31 12:00:00
163,164,68906,D-1,67356,59.0,20,50,3,2016-05-31 12:00:00
164,165,187313,D-1,182723,17.0,20,50,16,2016-05-31 07:00:00
165,166,149668,D-1,146308,23.0,20,50,3,2016-05-31 12:00:00
166,167,308519,D-1,301429,45.0,20,50,16,2016-05-31 07:00:00
167,168,112946,D-1,109736,12.0,20,50,16,2016-05-31 07:00:00
168,169,68707,D-1,67267,21.0,20,50,3,2016-05-31 12:00:00
169,170,274265,D-1,267845,55.0,20,50,3,2016-05-31 12:00:00
170,171,128136,D-1,125016,16.0,20,50,16,2016-05-31 07:00:00
171,172,291347,D-1,284067,23.0,20,50,3,2016-05-31 12:00:00
172,173,103958,D-1,101188,47.0,20,50,16,2016-05-31 07:00:00
173,174,8879,D-2,8702,110.0,2,3,3,2016-05-31 12:00:00
174,175,15106,D-2,14697,110.0,2,3,3,2016-05-31 12:00:00
175,176,41251,D-2,40230,110.0,2,3,3,2016-05-31 12:00:00
176,177,58292,D-3,57592,0.55,50,100,3,2016-05-31 12:00:00
177,178,117043,D-3,114368,1.1,50,100,16,2016-05-31 07:00:00
178,179,214030,D-3,209130,0.55,50,100,3,2016-05-31 12:00:00
179,180,318572,D-3,311847,0.6,50,100,16,2016-05-31 07:00:00
180,181,64432,D-3,65282,0.56,50,100,3,2016-05-31 12:00:00
181,182,326007,D-3,317357,0.6,50,100,3,2016-05-31 12:00:00
182,183,62224,D-3,62149,1.2,50,100,3,2016-05-31 12:00:00
183,184,38,D-3,38,1.9,50,100,3,2016-05-31 12:00:00
184,185,723037,D-3,706837,1.05,50,100,3,2016-05-31 12:00:00
185,186,422709,D-3,412434,1.1,50,100,3,2016-05-31 12:00:00
186,187,1034169,D-3,1009444,0.45,50,100,3,2016-05-31 12:00:00
187,188,208903,D-3,204003,0.36,50,100,3,2016-05-31 12:00:00
188,189,324375,D-4,316731,1.7,20,50,3,2016-05-31 12:00:00
189,190,50246,D-4,48746,1.8,20,50,16,2016-05-31 07:00:00
190,191,686530,D-4,668962,1.8,20,50,3,2016-05-31 12:00:00
191,192,618169,D-4,604525,2.3,20,50,3,2016-05-31 12:00:00
192,193,50,D-4,74,1.6,20,50,16,2016-05-31 07:00:00
193,194,204993,D-4,200529,2.0,20,50,3,2016-05-31 12:00:00
194,195,59592,D-4,57648,1.3,20,50,3,2016-05-31 12:00:00
195,196,654741,D-4,638949,2.0,20,50,16,2016-05-31 07:00:00
196,197,263108,D-4,255716,1.7,20,50,3,2016-05-31 12:00:00
197,198,54862,D-4,54454,1.95,20,50,3,2016-05-31 12:00:00
198,199,5447,D-4,4991,1.5,20,50,3,2016-05-31 12:00:00
199,200,56445,D-4,57069,2.4,20,50,3,2016-05-31 12:00:00
200,201,153241,D-4,148369,1.6,20,50,3,2016-05-31 12:00:00
201,202,68654,D-4,68606,2.05,20,50,16,2016-05-31 07:00:00
202,203,4253,D-4,4643,17.0,20,30,3,2016-05-31 12:00:00
203,204,24,D-4,24,17.0,20,30,16,2016-05-31 07:00:00
204,205,169152,D-4,165562,17.0,20,30,3,2016-05-31 12:00:00
205,206,306414,D-5,299778,1.7,50,200,3,2016-05-31 12:00:00
206,207,250156,D-5,244504,1.7,50,200,3,2016-05-31 12:00:00
207,208,251435,D-5,245531,1.7,50,200,3,2016-05-31 12:00:00
208,209,104161,D-7,101691,0.9,20,50,16,2016-05-31 07:00:00
209,210,128179,D-7,125214,1.2,20,50,3,2016-05-31 12:00:00
210,211,273217,D-7,266757,2.6,20,50,3,2016-05-31 12:00:00
211,212,248979,D-7,243069,2.05,20,50,3,2016-05-31 12:00:00
212,213,20946,D-8,20443,35.0,20,30,3,2016-05-31 12:00:00
213,214,16642,D-8,16226,54.0,20,30,3,2016-05-31 12:00:00
214,215,12530,D-8,12296,1140.0,1,2,3,2016-05-31 12:00:00
215,216,47902,D-9,47472,6.0,10,40,3,2016-05-31 12:00:00
216,217,128916,D-9,126526,16.0,10,40,3,2016-05-31 12:00:00
217,218,107072,D-9,104442,18.0,10,40,16,2016-05-31 07:00:00
218,219,108124,D-9,106114,26.0,10,40,3,2016-05-31 12:00:00
219,220,90360,CH-1,71112,4.75,240,500,16,2016-05-31 07:00:00
220,221,48228,CH-2,38748,8.75,120,250,3,2016-05-31 12:00:00
221,222,69336,CH-3,56568,4.75,240,500,3,2016-05-31 12:00:00
222,223,74256,CH-4,58464,4.75,240,500,3,2016-05-31 12:00:00
223,224,67488,CH-5,53136,4.75,240,500,3,2016-05-31 12:00:00
224,225,119560,CH-6,95920,4.75,240,500,16,2016-05-31 07:00:00
225,226,155856,CH-7,122544,4.75,240,500,3,2016-05-31 12:00:00
226,227,245352,CH-8,193848,4.75,240,500,3,2016-05-31 12:00:00
