,SupplierTransactionID,SupplierID,TransactionTypeID,PurchaseOrderID,PaymentMethodID,SupplierInvoiceNumber,TransactionDate,AmountExcludingTax,TaxAmount,TransactionAmount,OutstandingBalance,FinalizationDate,IsFinalized,LastEditedBy,LastEditedWhen
36,2087,7,5,31.0,4,2794.0,2013-01-09,10940.0,1641.0,12581.0,0.0,2013-01-14,True,5,2013-01-14 09:00:00
37,2351,4,5,32.0,4,2279.0,2013-01-10,168.0,25.2,193.2,0.0,2013-01-14,True,5,2013-01-14 09:00:00
38,2353,5,5,33.0,4,5876.0,2013-01-10,126.0,18.9,144.9,0.0,2013-01-14,True,5,2013-01-14 09:00:00
39,2356,7,5,34.0,4,1910.0,2013-01-10,10600.0,1590.0,12190.0,0.0,2013-01-14,True,5,2013-01-14 09:00:00
40,2358,10,5,35.0,4,5538.0,2013-01-10,8525.0,1278.75,9803.75,0.0,2013-01-14,True,5,2013-01-14 09:00:00
41,2719,4,5,36.0,4,1677.0,2013-01-11,1242.0,186.3,1428.3,0.0,2013-01-14,True,5,2013-01-14 09:00:00
42,2721,5,5,37.0,4,8004.0,2013-01-11,144.0,21.6,165.6,0.0,2013-01-14,True,5,2013-01-14 09:00:00
43,2723,7,5,38.0,4,9443.0,2013-01-11,510.0,76.5,586.5,0.0,2013-01-14,True,5,2013-01-14 09:00:00
44,3236,4,5,39.0,4,1097.0,2013-01-14,2646.0,396.9,3042.9,0.0,2013-01-14,True,5,2013-01-14 09:00:00
45,3241,5,5,40.0,4,691.0,2013-01-14,553.5,83.03,636.53,0.0,2013-01-14,True,5,2013-01-14 09:00:00
46,3244,4,5,41.0,4,5086.0,2013-01-14,1110.0,166.5,1276.5,0.0,2013-01-14,True,5,2013-01-14 09:00:00
47,3246,7,5,42.0,4,4017.0,2013-01-14,1530.0,229.5,1759.5,0.0,2013-01-14,True,5,2013-01-14 09:00:00
48,3247,4,7,,4,,2013-01-14,0.0,0.0,-7592.3,0.0,2013-01-14,True,5,2013-01-14 09:00:00
49,3248,5,7,,4,,2013-01-14,0.0,0.0,-1904.42,0.0,2013-01-14,True,5,2013-01-14 09:00:00
50,3249,7,7,,4,,2013-01-14,0.0,0.0,-29854.0,0.0,2013-01-14,True,5,2013-01-14 09:00:00
51,3250,10,7,,4,,2013-01-14,0.0,0.0,-10996.88,0.0,2013-01-14,True,5,2013-01-14 09:00:00
52,3251,12,7,,4,,2013-01-14,0.0,0.0,-2732.4,0.0,2013-01-14,True,5,2013-01-14 09:00:00
53,3574,4,5,43.0,4,9295.0,2013-01-15,3648.0,547.2,4195.2,0.0,2013-01-21,True,18,2013-01-21 09:00:00
54,3576,5,5,44.0,4,3601.0,2013-01-15,148.5,22.28,170.78,0.0,2013-01-21,True,18,2013-01-21 09:00:00
55,3578,7,5,45.0,4,1718.0,2013-01-15,170.0,25.5,195.5,0.0,2013-01-21,True,18,2013-01-21 09:00:00
56,3580,10,5,46.0,4,2921.0,2013-01-15,1150.0,172.5,1322.5,0.0,2013-01-21,True,18,2013-01-21 09:00:00
57,4017,4,5,47.0,4,9303.0,2013-01-16,7494.0,1124.1,8618.1,0.0,2013-01-21,True,18,2013-01-21 09:00:00
58,4020,5,5,48.0,4,1850.0,2013-01-16,297.0,44.56,341.56,0.0,2013-01-21,True,18,2013-01-21 09:00:00
59,4022,10,5,49.0,4,5212.0,2013-01-16,1364.0,204.6,1568.6,0.0,2013-01-21,True,18,2013-01-21 09:00:00
60,4221,4,5,50.0,4,3650.0,2013-01-17,6162.0,924.3,7086.3,0.0,2013-01-21,True,18,2013-01-21 09:00:00
61,4467,4,5,51.0,4,2677.0,2013-01-18,7590.0,1138.5,8728.5,0.0,2013-01-21,True,18,2013-01-21 09:00:00
62,4978,4,5,52.0,4,7211.0,2013-01-21,9702.0,1455.3,11157.3,0.0,2013-01-21,True,18,2013-01-21 09:00:00
63,4980,5,5,53.0,4,2427.0,2013-01-21,144.0,21.6,165.6,0.0,2013-01-21,True,18,2013-01-21 09:00:00
64,4982,4,5,54.0,4,2363.0,2013-01-21,756.0,113.4,869.4,0.0,2013-01-21,True,18,2013-01-21 09:00:00
65,4984,5,5,55.0,4,9348.0,2013-01-21,139.5,20.93,160.43,0.0,2013-01-21,True,18,2013-01-21 09:00:00
66,4985,4,7,,4,,2013-01-21,0.0,0.0,-40654.8,0.0,2013-01-21,True,18,2013-01-21 09:00:00
67,4986,5,7,,4,,2013-01-21,0.0,0.0,-838.37,0.0,2013-01-21,True,18,2013-01-21 09:00:00
68,4987,7,7,,4,,2013-01-21,0.0,0.0,-195.5,0.0,2013-01-21,True,18,2013-01-21 09:00:00
69,4988,10,7,,4,,2013-01-21,0.0,0.0,-2891.1,0.0,2013-01-21,True,18,2013-01-21 09:00:00
70,5163,4,5,56.0,4,4752.0,2013-01-22,8382.0,1257.3,9639.3,0.0,2013-01-28,True,17,2013-01-28 09:00:00
71,5379,4,5,57.0,4,1044.0,2013-01-23,8850.0,1327.5,10177.5,0.0,2013-01-28,True,17,2013-01-28 09:00:00
72,5695,4,5,58.0,4,13.0,2013-01-24,11514.0,1727.1,13241.1,0.0,2013-01-28,True,17,2013-01-28 09:00:00
73,5892,4,5,59.0,4,1165.0,2013-01-25,14358.0,2153.7,16511.7,0.0,2013-01-28,True,17,2013-01-28 09:00:00
74,6448,4,5,60.0,4,5931.0,2013-01-28,14358.0,2153.7,16511.7,0.0,2013-01-28,True,17,2013-01-28 09:00:00
75,6452,4,5,61.0,4,8510.0,2013-01-28,2448.0,367.2,2815.2,0.0,2013-01-28,True,17,2013-01-28 09:00:00
76,6454,10,5,62.0,4,4482.0,2013-01-28,8815.0,1322.25,10137.25,0.0,2013-01-28,True,17,2013-01-28 09:00:00
77,6455,4,7,,4,,2013-01-28,0.0,0.0,-68896.5,0.0,2013-01-28,True,17,2013-01-28 09:00:00
78,6456,10,7,,4,,2013-01-28,0.0,0.0,-10137.25,0.0,2013-01-28,True,17,2013-01-28 09:00:00
79,6738,4,5,63.0,4,5200.0,2013-01-29,16410.0,2461.5,18871.5,0.0,2013-02-04,True,6,2013-02-04 09:00:00
80,6740,7,5,64.0,4,2590.0,2013-01-29,1020.0,153.0,1173.0,0.0,2013-02-04,True,6,2013-02-04 09:00:00
81,7129,4,5,65.0,4,7448.0,2013-01-30,19830.0,2974.5,22804.5,0.0,2013-02-04,True,6,2013-02-04 09:00:00
82,7131,7,5,66.0,4,7195.0,2013-01-30,340.0,51.0,391.0,0.0,2013-02-04,True,6,2013-02-04 09:00:00
83,7503,4,5,67.0,4,582.0,2013-01-31,20514.0,3077.1,23591.1,0.0,2013-02-04,True,6,2013-02-04 09:00:00
84,7836,4,5,68.0,4,9112.0,2013-02-01,22434.0,3365.1,25799.1,0.0,2013-02-04,True,6,2013-02-04 09:00:00
85,8357,4,5,69.0,4,6311.0,2013-02-04,25014.0,3752.1,28766.1,0.0,2013-02-04,True,6,2013-02-04 09:00:00
86,8362,4,5,70.0,4,3585.0,2013-02-04,2244.0,336.6,2580.6,0.0,2013-02-04,True,6,2013-02-04 09:00:00
87,8363,4,7,,4,,2013-02-04,0.0,0.0,-122412.9,0.0,2013-02-04,True,6,2013-02-04 09:00:00
88,8364,7,7,,4,,2013-02-04,0.0,0.0,-1564.0,0.0,2013-02-04,True,6,2013-02-04 09:00:00
89,8623,4,5,71.0,4,7488.0,2013-02-05,26550.0,3982.5,30532.5,0.0,2013-02-11,True,19,2013-02-11 09:00:00
90,8814,4,5,72.0,4,4979.0,2013-02-06,26790.0,4018.5,30808.5,0.0,2013-02-11,True,19,2013-02-11 09:00:00
91,9009,4,5,73.0,4,2141.0,2013-02-07,26826.0,4023.9,30849.9,0.0,2013-02-11,True,19,2013-02-11 09:00:00
92,9181,4,5,74.0,4,9898.0,2013-02-08,26310.0,3946.5,30256.5,0.0,2013-02-11,True,19,2013-02-11 09:00:00
93,9699,4,5,75.0,4,496.0,2013-02-11,26022.0,3903.3,29925.3,0.0,2013-02-11,True,19,2013-02-11 09:00:00
94,9703,4,5,76.0,4,8384.0,2013-02-11,3804.0,570.6,4374.6,0.0,2013-02-11,True,19,2013-02-11 09:00:00
95,9704,4,7,,4,,2013-02-11,0.0,0.0,-156747.3,0.0,2013-02-11,True,19,2013-02-11 09:00:00
96,10029,4,5,77.0,4,2733.0,2013-02-12,29970.0,4495.5,34465.5,0.0,2013-02-18,True,10,2013-02-18 09:00:00
97,10193,4,5,78.0,4,4085.0,2013-02-13,31302.0,4695.3,35997.3,0.0,2013-02-18,True,10,2013-02-18 09:00:00
98,10370,4,5,79.0,4,4936.0,2013-02-14,33042.0,4956.3,37998.3,0.0,2013-02-18,True,10,2013-02-18 09:00:00
99,10372,7,5,80.0,4,3363.0,2013-02-14,1190.0,178.5,1368.5,0.0,2013-02-18,True,10,2013-02-18 09:00:00
100,10634,4,5,81.0,4,7232.0,2013-02-15,36678.0,5501.7,42179.7,0.0,2013-02-18,True,10,2013-02-18 09:00:00
101,10636,7,5,82.0,4,6588.0,2013-02-15,2040.0,306.0,2346.0,0.0,2013-02-18,True,10,2013-02-18 09:00:00
102,11047,4,5,83.0,4,3866.0,2013-02-18,36066.0,5409.9,41475.9,0.0,2013-02-18,True,10,2013-02-18 09:00:00
103,11049,7,5,84.0,4,1117.0,2013-02-18,1360.0,204.0,1564.0,0.0,2013-02-18,True,10,2013-02-18 09:00:00
104,11053,4,5,85.0,4,6329.0,2013-02-18,1440.0,216.0,1656.0,0.0,2013-02-18,True,10,2013-02-18 09:00:00
105,11054,4,7,,4,,2013-02-18,0.0,0.0,-193772.7,0.0,2013-02-18,True,10,2013-02-18 09:00:00
106,11055,7,7,,4,,2013-02-18,0.0,0.0,-5278.5,0.0,2013-02-18,True,10,2013-02-18 09:00:00
107,11269,4,5,86.0,4,3252.0,2013-02-19,37590.0,5638.5,43228.5,0.0,2013-02-25,True,4,2013-02-25 09:00:00
108,11271,7,5,87.0,4,5623.0,2013-02-19,2210.0,331.5,2541.5,0.0,2013-02-25,True,4,2013-02-25 09:00:00
109,11524,4,5,88.0,4,8265.0,2013-02-20,37602.0,5640.3,43242.3,0.0,2013-02-25,True,4,2013-02-25 09:00:00
110,11526,7,5,89.0,4,1892.0,2013-02-20,2550.0,382.5,2932.5,0.0,2013-02-25,True,4,2013-02-25 09:00:00
111,11819,4,5,90.0,4,3951.0,2013-02-21,38868.0,5830.2,44698.2,0.0,2013-02-25,True,4,2013-02-25 09:00:00
112,11821,7,5,91.0,4,9767.0,2013-02-21,3230.0,484.5,3714.5,0.0,2013-02-25,True,4,2013-02-25 09:00:00
113,12008,4,5,92.0,4,5049.0,2013-02-22,37452.0,5617.8,43069.8,0.0,2013-02-25,True,4,2013-02-25 09:00:00
114,12010,7,5,93.0,4,6105.0,2013-02-22,2550.0,382.5,2932.5,0.0,2013-02-25,True,4,2013-02-25 09:00:00
115,12440,4,5,94.0,4,8331.0,2013-02-25,37212.0,5581.8,42793.8,0.0,2013-02-25,True,4,2013-02-25 09:00:00
116,12442,7,5,95.0,4,9031.0,2013-02-25,4080.0,612.0,4692.0,0.0,2013-02-25,True,4,2013-02-25 09:00:00
117,12446,4,5,96.0,4,149.0,2013-02-25,2052.0,307.8,2359.8,0.0,2013-02-25,True,4,2013-02-25 09:00:00
118,12448,7,5,97.0,4,6779.0,2013-02-25,1700.0,255.0,1955.0,0.0,2013-02-25,True,4,2013-02-25 09:00:00
119,12449,4,7,,4,,2013-02-25,0.0,0.0,-219392.4,0.0,2013-02-25,True,4,2013-02-25 09:00:00
120,12450,7,7,,4,,2013-02-25,0.0,0.0,-18768.0,0.0,2013-02-25,True,4,2013-02-25 09:00:00
121,12611,4,5,98.0,4,8792.0,2013-02-26,36432.0,5464.8,41896.8,0.0,2013-03-04,True,14,2013-03-04 09:00:00
122,12613,7,5,99.0,4,1663.0,2013-02-26,4420.0,663.0,5083.0,0.0,2013-03-04,True,14,2013-03-04 09:00:00
123,12881,4,5,100.0,4,5762.0,2013-02-27,36552.0,5482.8,42034.8,0.0,2013-03-04,True,14,2013-03-04 09:00:00
124,12883,7,5,101.0,4,2466.0,2013-02-27,3740.0,561.0,4301.0,0.0,2013-03-04,True,14,2013-03-04 09:00:00
125,13077,4,5,102.0,4,8862.0,2013-02-28,36000.0,5400.0,41400.0,0.0,2013-03-04,True,14,2013-03-04 09:00:00
126,13079,7,5,103.0,4,4111.0,2013-02-28,4420.0,663.0,5083.0,0.0,2013-03-04,True,14,2013-03-04 09:00:00
127,13277,4,5,104.0,4,6083.0,2013-03-01,36324.0,5448.6,41772.6,0.0,2013-03-04,True,14,2013-03-04 09:00:00
128,13279,7,5,105.0,4,9846.0,2013-03-01,3740.0,561.0,4301.0,0.0,2013-03-04,True,14,2013-03-04 09:00:00
129,13834,4,5,106.0,4,845.0,2013-03-04,38472.0,5770.8,44242.8,0.0,2013-03-04,True,14,2013-03-04 09:00:00
130,13836,7,5,107.0,4,9908.0,2013-03-04,3910.0,586.5,4496.5,0.0,2013-03-04,True,14,2013-03-04 09:00:00
131,13842,4,5,108.0,4,6244.0,2013-03-04,2664.0,399.6,3063.6,0.0,2013-03-04,True,14,2013-03-04 09:00:00
132,13843,4,7,,4,,2013-03-04,0.0,0.0,-214410.6,0.0,2013-03-04,True,14,2013-03-04 09:00:00
133,13844,7,7,,4,,2013-03-04,0.0,0.0,-23264.5,0.0,2013-03-04,True,14,2013-03-04 09:00:00
134,14211,4,5,109.0,4,2164.0,2013-03-05,43866.0,6579.9,50445.9,0.0,2013-03-11,True,17,2013-03-11 09:00:00
135,14213,7,5,110.0,4,3906.0,2013-03-05,4760.0,714.0,5474.0,0.0,2013-03-11,True,17,2013-03-11 09:00:00
136,14459,4,5,111.0,4,6582.0,2013-03-06,43848.0,6577.2,50425.2,0.0,2013-03-11,True,17,2013-03-11 09:00:00
137,14461,7,5,112.0,4,5501.0,2013-03-06,4080.0,612.0,4692.0,0.0,2013-03-11,True,17,2013-03-11 09:00:00
138,14878,4,5,113.0,4,8640.0,2013-03-07,43740.0,6561.0,50301.0,0.0,2013-03-11,True,17,2013-03-11 09:00:00
139,14880,7,5,114.0,4,2764.0,2013-03-07,4760.0,714.0,5474.0,0.0,2013-03-11,True,17,2013-03-11 09:00:00
140,15277,4,5,115.0,4,635.0,2013-03-08,46392.0,6958.8,53350.8,0.0,2013-03-11,True,17,2013-03-11 09:00:00
141,15279,7,5,116.0,4,10.0,2013-03-08,4930.0,739.5,5669.5,0.0,2013-03-11,True,17,2013-03-11 09:00:00
142,15861,4,5,117.0,4,3769.0,2013-03-11,45744.0,6861.6,52605.6,0.0,2013-03-11,True,17,2013-03-11 09:00:00
143,15863,7,5,118.0,4,9407.0,2013-03-11,5440.0,816.0,6256.0,0.0,2013-03-11,True,17,2013-03-11 09:00:00
144,15865,4,5,119.0,4,3489.0,2013-03-11,672.0,100.8,772.8,0.0,2013-03-11,True,17,2013-03-11 09:00:00
145,15866,4,7,,4,,2013-03-11,0.0,0.0,-257901.3,0.0,2013-03-11,True,17,2013-03-11 09:00:00
146,15867,7,7,,4,,2013-03-11,0.0,0.0,-27565.5,0.0,2013-03-11,True,17,2013-03-11 09:00:00
147,16202,4,5,120.0,4,1393.0,2013-03-12,47754.0,7163.1,54917.1,0.0,2013-03-18,True,19,2013-03-18 09:00:00
148,16204,7,5,121.0,4,8136.0,2013-03-12,5440.0,816.0,6256.0,0.0,2013-03-18,True,19,2013-03-18 09:00:00
149,16596,4,5,122.0,4,2145.0,2013-03-13,49662.0,7449.3,57111.3,0.0,2013-03-18,True,19,2013-03-18 09:00:00
150,16598,7,5,123.0,4,3431.0,2013-03-13,4760.0,714.0,5474.0,0.0,2013-03-18,True,19,2013-03-18 09:00:00
151,16891,4,5,124.0,4,1725.0,2013-03-14,49566.0,7434.9,57000.9,0.0,2013-03-18,True,19,2013-03-18 09:00:00
152,16893,7,5,125.0,4,796.0,2013-03-14,6630.0,994.5,7624.5,0.0,2013-03-18,True,19,2013-03-18 09:00:00
153,17288,4,5,126.0,4,5081.0,2013-03-15,54282.0,8142.3,62424.3,0.0,2013-03-18,True,19,2013-03-18 09:00:00
154,17290,7,5,127.0,4,1536.0,2013-03-15,5950.0,892.5,6842.5,0.0,2013-03-18,True,19,2013-03-18 09:00:00
155,17848,4,5,128.0,4,3465.0,2013-03-18,56208.0,8431.2,64639.2,0.0,2013-03-18,True,19,2013-03-18 09:00:00
156,17851,7,5,129.0,4,6381.0,2013-03-18,5346.8,802.02,6148.82,0.0,2013-03-18,True,19,2013-03-18 09:00:00
157,17857,4,5,130.0,4,595.0,2013-03-18,4524.0,678.6,5202.6,0.0,2013-03-18,True,19,2013-03-18 09:00:00
158,17858,4,7,,4,,2013-03-18,0.0,0.0,-301295.4,0.0,2013-03-18,True,19,2013-03-18 09:00:00
159,17859,7,7,,4,,2013-03-18,0.0,0.0,-32345.82,0.0,2013-03-18,True,19,2013-03-18 09:00:00
160,18039,4,5,131.0,4,5638.0,2013-03-19,59790.0,8968.5,68758.5,0.0,2013-03-25,True,4,2013-03-25 09:00:00
161,18041,7,5,132.0,4,4145.0,2013-03-19,5100.0,765.0,5865.0,0.0,2013-03-25,True,4,2013-03-25 09:00:00
162,18427,4,5,133.0,4,184.0,2013-03-20,62742.0,9411.3,72153.3,0.0,2013-03-25,True,4,2013-03-25 09:00:00
163,18430,7,5,134.0,4,1351.0,2013-03-20,5259.2,788.88,6048.08,0.0,2013-03-25,True,4,2013-03-25 09:00:00
164,18797,4,5,135.0,4,8521.0,2013-03-21,64620.0,9693.0,74313.0,0.0,2013-03-25,True,4,2013-03-25 09:00:00
165,18800,7,5,136.0,4,6501.0,2013-03-21,4809.6,721.44,5531.04,0.0,2013-03-25,True,4,2013-03-25 09:00:00
166,19195,4,5,137.0,4,6090.0,2013-03-22,67464.0,10119.6,77583.6,0.0,2013-03-25,True,4,2013-03-25 09:00:00
167,19198,7,5,138.0,4,7535.0,2013-03-22,7765.6,1164.84,8930.44,0.0,2013-03-25,True,4,2013-03-25 09:00:00
168,19667,4,5,139.0,4,4037.0,2013-03-25,70686.0,10602.9,81288.9,0.0,2013-03-25,True,4,2013-03-25 09:00:00
169,19670,7,5,140.0,4,368.0,2013-03-25,7650.4,1147.56,8797.96,0.0,2013-03-25,True,4,2013-03-25 09:00:00
170,19672,7,5,141.0,4,7669.0,2013-03-25,170.0,25.5,195.5,0.0,2013-03-25,True,4,2013-03-25 09:00:00
171,19673,4,7,,4,,2013-03-25,0.0,0.0,-374097.3,0.0,2013-03-25,True,4,2013-03-25 09:00:00
172,19674,7,7,,4,,2013-03-25,0.0,0.0,-35368.02,0.0,2013-03-25,True,4,2013-03-25 09:00:00
173,19972,4,5,142.0,4,1256.0,2013-03-26,70542.0,10581.3,81123.3,0.0,2013-04-01,True,17,2013-04-01 09:00:00
174,19975,7,5,143.0,4,1641.0,2013-03-26,7590.0,1138.5,8728.5,0.0,2013-04-01,True,17,2013-04-01 09:00:00
175,20181,4,5,144.0,4,9638.0,2013-03-27,70890.0,10633.5,81523.5,0.0,2013-04-01,True,17,2013-04-01 09:00:00
176,20184,7,5,145.0,4,2264.0,2013-03-27,7063.6,1059.54,8123.14,0.0,2013-04-01,True,17,2013-04-01 09:00:00
177,20583,4,5,146.0,4,3934.0,2013-03-28,71202.0,10680.3,81882.3,0.0,2013-04-01,True,17,2013-04-01 09:00:00
178,20586,7,5,147.0,4,7287.0,2013-03-28,8522.4,1278.36,9800.76,0.0,2013-04-01,True,17,2013-04-01 09:00:00
179,20767,4,5,148.0,4,8477.0,2013-03-29,71046.0,10656.9,81702.9,0.0,2013-04-01,True,17,2013-04-01 09:00:00
180,20770,7,5,149.0,4,2327.0,2013-03-29,7688.8,1153.32,8842.12,0.0,2013-04-01,True,17,2013-04-01 09:00:00
181,21065,4,5,150.0,4,4803.0,2013-04-01,69630.0,10444.5,80074.5,0.0,2013-04-01,True,17,2013-04-01 09:00:00
182,21068,7,5,151.0,4,4468.0,2013-04-01,8599.2,1289.88,9889.08,0.0,2013-04-01,True,17,2013-04-01 09:00:00
183,21073,4,5,152.0,4,6299.0,2013-04-01,2952.0,442.8,3394.8,0.0,2013-04-01,True,17,2013-04-01 09:00:00
184,21074,4,7,,4,,2013-04-01,0.0,0.0,-409701.3,0.0,2013-04-01,True,17,2013-04-01 09:00:00
185,21075,7,7,,4,,2013-04-01,0.0,0.0,-45383.6,0.0,2013-04-01,True,17,2013-04-01 09:00:00
186,21470,4,5,153.0,4,8940.0,2013-04-02,72426.0,10863.9,83289.9,0.0,2013-04-08,True,2,2013-04-08 09:00:00
187,21473,7,5,154.0,4,3874.0,2013-04-02,9986.8,1498.02,11484.82,0.0,2013-04-08,True,2,2013-04-08 09:00:00
188,21757,4,5,155.0,4,873.0,2013-04-03,73110.0,10966.5,84076.5,0.0,2013-04-08,True,2,2013-04-08 09:00:00
189,21760,7,5,156.0,4,7948.0,2013-04-03,10387.2,1558.08,11945.28,0.0,2013-04-08,True,2,2013-04-08 09:00:00
190,22020,4,5,157.0,4,4746.0,2013-04-04,74460.0,11169.0,85629.0,0.0,2013-04-08,True,2,2013-04-08 09:00:00
191,22023,7,5,158.0,4,1433.0,2013-04-04,10409.2,1561.38,11970.58,0.0,2013-04-08,True,2,2013-04-08 09:00:00
192,22409,4,5,159.0,4,9995.0,2013-04-05,76524.0,11478.6,88002.6,0.0,2013-04-08,True,2,2013-04-08 09:00:00
193,22412,7,5,160.0,4,2430.0,2013-04-05,11072.8,1660.92,12733.72,0.0,2013-04-08,True,2,2013-04-08 09:00:00
194,22931,4,5,161.0,4,5240.0,2013-04-08,79524.0,11928.6,91452.6,0.0,2013-04-08,True,2,2013-04-08 09:00:00
195,22934,7,5,162.0,4,1691.0,2013-04-08,12109.2,1816.38,13925.58,0.0,2013-04-08,True,2,2013-04-08 09:00:00
196,22937,4,5,163.0,4,743.0,2013-04-08,912.0,136.8,1048.8,0.0,2013-04-08,True,2,2013-04-08 09:00:00
197,22939,7,5,164.0,4,4720.0,2013-04-08,1020.0,153.0,1173.0,0.0,2013-04-08,True,2,2013-04-08 09:00:00
198,22940,4,7,,4,,2013-04-08,0.0,0.0,-433499.4,0.0,2013-04-08,True,2,2013-04-08 09:00:00
199,22941,7,7,,4,,2013-04-08,0.0,0.0,-63232.98,0.0,2013-04-08,True,2,2013-04-08 09:00:00
200,23163,4,5,165.0,4,4497.0,2013-04-09,81786.0,12267.9,94053.9,0.0,2013-04-15,True,4,2013-04-15 09:00:00
201,23166,7,5,166.0,4,9679.0,2013-04-09,11462.0,1719.3,13181.3,0.0,2013-04-15,True,4,2013-04-15 09:00:00
